"pop_nuts0","count","count2"
"AT","30","1209"
"BE","30","1395"
"BG","30","837"
"CY","30","279"
"CZ","30","882"
"DE","30","4974"
"DK","30","396"
"EE","30","279"
"EL","30","1641"
"ES","30","2511"
"EU","60","273"
"FI","30","744"
"FR","30","3612"
"HR","30","306"
"HU","30","1050"
"IE","30","267"
"IT","30","2379"
"LT","30","306"
"LU","30","279"
"LV","30","279"
"MT","30","279"
"NL","30","1581"
"PL","30","1563"
"PT","30","984"
"RO","30","1209"
"SE","30","1116"
"SI","30","264"
"SK","30","486"
"UK","30","4314"